round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,13,1,147.339356202635,308,165.713204510228,321,175.339356202634,18,,, 
2,1,1,160.170012481281,320,165.713204510228,321,164.170012481281,5,,, 
