,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",-1.80536022104341,0.193327034920949,-9.33837433435843,9.78245170485444e-21
"AntiSingleton",23.3714287534195,29232.4381365142,0.000799503231453905,0.99936208878327
"Blob",205.961350352827,16153.2819860765,0.0127504336598815,0.989826901486124
"ClassDataShouldBePrivate",-22.3703370525177,105399.05413482,-0.000212244191716397,0.999830653637581
"ComplexClass",-17.8850996938124,7343.50538335671,-0.00243549895590015,0.998056754906346
"LazyClass",-18.8908552171326,9583.55681199072,-0.00197117370802214,0.998427231950214
"LongParameterList",-0.726211714094541,1.05462967696051,-0.688594043918353,0.491078770260038
"RefusedParentBequest",-1.30481437592964,0.733794274504705,-1.77817464821508,0.07537517531473
"SpeculativeGenerality",-18.4558939255615,20670.4551511213,-0.000892863451270462,0.999287598131981
"Blob_AntiSingleton",-2676.71997784482,214856.555430106,-0.0124581722558406,0.990060073824697
"LongParameterList_Blob",-2002.77218990019,156310.375824376,-0.0128127910852855,0.989777151523133
"Blob_ComplexClass",-547.769764884814,78700.4831102377,-0.0069601830031658,0.994446622279556
"ClassDataShouldBePrivate_LongParameterList",3.91444312101729,205668.43186396,1.9032785369835e-05,0.999984814034405
"ClassDataShouldBePrivate_RefusedParentBequest",3.91444313033898,107406.835575787,3.64450093828239e-05,0.999970921089702
