,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",3.97787915768643,0.0640304149930001,62.1248379870925,0
"AntiSingleton",-2.14630542203437,0.604116654962557,-3.55279961974794,0.000381154682902974
"Blob",-1.04912982732296,0.897546770484666,-1.16888596987146,0.242449576944841
"ClassDataShouldBePrivate",-0.33295449562936,0.346188229922215,-0.961773009163747,0.336163638941454
"ComplexClass",1.29961836784406,0.284146755651872,4.5737575460348,4.79054168230119e-06
"LazyClass",-1.38761199224056,0.57323306607853,-2.42067681428982,0.0154916433460022
"LongParameterList",-0.151802373055457,0.3434659563459,-0.441972108882251,0.658509388935606
"RefusedParentBequest",-1.05830137491385,1.0619059917241,-0.99660552173324,0.318956024692189
"SpeculativeGenerality",-1.03344017851995,0.803514941800419,-1.28614929823749,0.198390961908501
"SwissArmyKnife",1.22772910091513,1.39494230335101,0.880128947244494,0.378789459191186
"RefusedParentBequest_AntiSingleton",-22.6451442375015,25.7500555567381,-0.879421179795316,0.379172952487189
"ComplexClass_Blob",0.91735242439042,2.74099509245293,0.334678608844016,0.737867539465416
"LongParameterList_Blob",2.85957952008013,2.5801958166889,1.10828003889633,0.267740893380109
"SwissArmyKnife_Blob",-1.37632204124547,3.76918484839935,-0.365151112668286,0.71499860873522
"LongParameterList_ClassDataShouldBePrivate",-3.47137474328689,1.60959570447585,-2.15667495485602,0.0310309997466615
"LongParameterList_ComplexClass",0.525089953253405,1.08152021179686,0.485510994178286,0.6273139158634
"RefusedParentBequest_ComplexClass",4.04162473168472,6.06250958404615,0.666658695653116,0.504990167756139
"Blob_LongParameterList",3.51613234051765,2.68985868604667,1.30718106447643,0.191151224900096
"LazyClass_LongParameterList",-4.42246772977322,3.8938558860144,-1.13575536928766,0.256058960478783
"Blob_RefusedParentBequest",8.91130111958179,6.50595543153316,1.36971444292261,0.170776058404644
"ComplexClass_RefusedParentBequest",-2.82001515143204,3.52357114150591,-0.800328711463682,0.4235203723406
"LongParameterList_RefusedParentBequest",-14.6808373903749,5.77432115359823,-2.54243520577768,0.0110083009472277
"Blob_SwissArmyKnife",3.89918005843956,5.32493444361504,0.732249401326422,0.464016356622516
"ComplexClass_SwissArmyKnife",-27.696045814565,11.7872704067382,-2.34965728780876,0.0187907032145357
"LongParameterList_SwissArmyKnife",-1.27562058813108,3.68397353916662,-0.346262147262777,0.729145713166697
"(Intercept)",3.96717655520856,0.0623526324127307,63.6248447210477,0
"AntiSingleton",-2.4836852345235,0.552526425862006,-4.49514288958878,6.95232451364677e-06
"ComplexClass",1.3467698175979,0.245936746904944,5.47608210056726,4.34845995704873e-08
"LazyClass",-1.50636745699963,0.537311571430452,-2.80352692384667,0.00505470117367562
"LongParameterList_ClassDataShouldBePrivate",-1.72228899991105,1.10349064179577,-1.560764481979,0.118579330644613
"LongParameterList_RefusedParentBequest",-6.11251575897746,2.24022282242929,-2.72853025948065,0.00636172532486693
"ComplexClass_SwissArmyKnife",-16.5988775106945,8.56410927077475,-1.93819076635776,0.0525999528625963
"(Intercept)",3.95519953862573,0.0616488709136696,64.1568852763648,0
"AntiSingleton",-2.45571852342174,0.552936523070681,-4.44123045043967,8.94459402723741e-06
"ComplexClass",1.21811293166355,0.231772019770058,5.25565136323203,1.47501480953445e-07
"LazyClass",-1.49439044041679,0.53864708232423,-2.77434054588876,0.00553137425301576
"LongParameterList_RefusedParentBequest",-6.33114448185586,2.24746495585755,-2.81701588509981,0.00484721282210113
