round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,24,6,697.389757216441,548,781.245322821006,572,5535.25635582396,1,0.534194444603491,0.026917766742275,-5483.25635582396 
2,6,4,699.817526752176,566,766.730455855574,572,5514.76654169035,1,0.524014187726854,0.0263412222611471,-5498.76654169035 
3,4,4,700.470945260944,568,762.573979143799,572,5515.22079260525,1,0.521100719466377,0.0261749441700018,-5503.22079260525 
