round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,24,1,331.110531000238,548,363.851285844351,572,763.268201902938,1,0.621021748284816,0.17928692789002,-711.268201902938 
2,1,1,329.371644932865,571,340.958672307971,572,736.769937450382,1,0.500148598909653,0.131325916446414,-730.769937450382 
