ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs
org.apache.xerces.dom.ASDOMImplementationImpl, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.apache.xerces.dom.ASModelImpl, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
org.apache.xerces.dom.AttrNSImpl, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.xerces.dom.AttributeMap, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.CDATASectionImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.ChildNode, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.CommentImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.CoreDOMImplementationImpl, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.apache.xerces.dom.DOMErrorImpl, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.apache.xerces.dom.DOMImplementationImpl, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.apache.xerces.dom.DOMImplementationSourceImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DOMInputImpl, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.xerces.dom.DOMLocatorImpl, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
org.apache.xerces.dom.DOMMessageFormatter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DOMNormalizer, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
org.apache.xerces.dom.DOMOutputImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeepNodeListImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredAttrImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredAttrNSImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredCDATASectionImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredCommentImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredDocumentTypeImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredElementDefinitionImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredElementImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredElementNSImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredEntityImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredEntityReferenceImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredNode, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredNotationImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredProcessingInstructionImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DeferredTextImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DocumentFragmentImpl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.xerces.dom.DocumentTypeImpl, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
