Class,same,uchangedLines,deleted,added,changed,all, differenceSection
 javax\xml\parsers\DocumentBuilder.java,273,14,0,2,0,2,2
 javax\xml\parsers\DocumentBuilderFactory.java,403,1,0,0,2,4,2
 javax\xml\parsers\FactoryConfigurationError.java,184,0,0,0,0,0,0
 javax\xml\parsers\ParserConfigurationException.java,117,0,0,0,0,0,0
 javax\xml\parsers\SAXParser.java,445,0,0,0,0,0,0
 javax\xml\parsers\SAXParserFactory.java,355,0,0,0,0,0,0
 org\apache\html\dom\HTMLAnchorElementImpl.java,252,0,0,0,0,0,0
 org\apache\html\dom\HTMLAppletElementImpl.java,219,0,0,0,0,0,0
 org\apache\html\dom\HTMLAreaElementImpl.java,191,0,0,0,0,0,0
 org\apache\html\dom\HTMLBaseElementImpl.java,111,0,0,0,0,0,0
 org\apache\html\dom\HTMLBaseFontElementImpl.java,124,0,0,0,0,0,0
 org\apache\html\dom\HTMLBodyElementImpl.java,159,0,0,0,0,0,0
 org\apache\html\dom\HTMLBRElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLBuilder.java,276,0,0,0,0,0,0
 org\apache\html\dom\HTMLButtonElementImpl.java,170,0,0,0,0,0,0
 org\apache\html\dom\HTMLCollectionImpl.java,560,0,0,0,0,0,0
 org\apache\html\dom\HTMLDirectoryElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLDivElementImpl.java,99,0,0,0,0,0,0
 org\apache\html\dom\HTMLDListElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLDocumentImpl.java,767,0,0,0,0,0,0
 org\apache\html\dom\HTMLDOMImplementationImpl.java,130,0,0,0,0,0,0
 org\apache\html\dom\HTMLElementImpl.java,340,0,0,0,0,0,0
 org\apache\html\dom\HTMLFieldSetElementImpl.java,88,0,0,0,0,0,0
 org\apache\html\dom\HTMLFontElementImpl.java,118,0,0,0,0,0,0
 org\apache\html\dom\HTMLFormControl.java,70,0,0,0,0,0,0
 org\apache\html\dom\HTMLFormElementImpl.java,198,0,0,0,0,0,0
 org\apache\html\dom\HTMLFrameElementImpl.java,184,0,0,0,0,0,0
 org\apache\html\dom\HTMLFrameSetElementImpl.java,112,0,0,0,0,0,0
 org\apache\html\dom\HTMLHeadElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLHeadingElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLHRElementImpl.java,136,0,0,0,0,0,0
 org\apache\html\dom\HTMLHtmlElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLIFrameElementImpl.java,207,0,0,0,0,0,0
 org\apache\html\dom\HTMLImageElementImpl.java,244,0,0,0,0,0,0
 org\apache\html\dom\HTMLInputElementImpl.java,331,0,0,0,0,0,0
 org\apache\html\dom\HTMLIsIndexElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLLabelElementImpl.java,121,0,0,0,0,0,0
 org\apache\html\dom\HTMLLegendElementImpl.java,121,0,0,0,0,0,0
 org\apache\html\dom\HTMLLIElementImpl.java,112,0,0,0,0,0,0
 org\apache\html\dom\HTMLLinkElementImpl.java,196,0,0,0,0,0,0
 org\apache\html\dom\HTMLMapElementImpl.java,112,0,0,0,0,0,0
 org\apache\html\dom\HTMLMenuElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLMetaElementImpl.java,137,0,0,0,0,0,0
 org\apache\html\dom\HTMLModElementImpl.java,113,0,0,0,0,0,0
 org\apache\html\dom\HTMLObjectElementImpl.java,297,0,0,0,0,0,0
 org\apache\html\dom\HTMLOListElementImpl.java,124,0,0,0,0,0,0
 org\apache\html\dom\HTMLOptGroupElementImpl.java,112,0,0,0,0,0,0
 org\apache\html\dom\HTMLOptionElementImpl.java,246,0,0,0,0,0,0
 org\apache\html\dom\HTMLParagraphElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLParamElementImpl.java,136,0,0,0,0,0,0
 org\apache\html\dom\HTMLPreElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLQuoteElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLScriptElementImpl.java,196,0,0,0,0,0,0
 org\apache\html\dom\HTMLSelectElementImpl.java,259,0,0,0,0,0,0
 org\apache\html\dom\HTMLStyleElementImpl.java,124,0,0,0,0,0,0
 org\apache\html\dom\HTMLTableCaptionElementImpl.java,100,0,0,0,0,0,0
 org\apache\html\dom\HTMLTableCellElementImpl.java,318,0,0,0,0,0,0
 org\apache\html\dom\HTMLTableColElementImpl.java,168,0,0,0,0,0,0
 org\apache\html\dom\HTMLTableElementImpl.java,433,0,0,0,0,0,0
 org\apache\html\dom\HTMLTableRowElementImpl.java,299,0,0,0,0,0,0
 org\apache\html\dom\HTMLTableSectionElementImpl.java,218,0,0,0,0,0,0
 org\apache\html\dom\HTMLTextAreaElementImpl.java,232,0,0,0,0,0,0
 org\apache\html\dom\HTMLTitleElementImpl.java,125,0,0,0,0,0,0
 org\apache\html\dom\HTMLUListElementImpl.java,112,0,0,0,0,0,0
 org\apache\html\dom\NameNodeListImpl.java,190,0,0,0,0,0,0
 org\apache\wml\dom\WMLAccessElementImpl.java,104,0,0,0,0,0,0
 org\apache\wml\dom\WMLAElementImpl.java,112,0,0,0,0,0,0
 org\apache\wml\dom\WMLAnchorElementImpl.java,104,0,0,0,0,0,0
 org\apache\wml\dom\WMLBElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLBigElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLBrElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLCardElementImpl.java,144,0,0,0,0,0,0
 org\apache\wml\dom\WMLDocumentImpl.java,152,0,0,0,0,0,0
 org\apache\wml\dom\WMLDoElementImpl.java,128,0,0,0,0,0,0
 org\apache\wml\dom\WMLDOMImplementationImpl.java,90,0,0,0,0,0,0
 org\apache\wml\dom\WMLElementImpl.java,120,0,0,0,0,0,0
 org\apache\wml\dom\WMLEmElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLFieldsetElementImpl.java,104,0,0,0,0,0,0
 org\apache\wml\dom\WMLGoElementImpl.java,120,0,0,0,0,0,0
 org\apache\wml\dom\WMLHeadElementImpl.java,88,0,0,0,0,0,0
 org\apache\wml\dom\WMLIElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLImgElementImpl.java,160,0,0,0,0,0,0
 org\apache\wml\dom\WMLInputElementImpl.java,168,0,0,0,0,0,0
 org\apache\wml\dom\WMLMetaElementImpl.java,126,0,0,0,0,0,0
 org\apache\wml\dom\WMLNoopElementImpl.java,87,0,0,0,0,0,0
 org\apache\wml\dom\WMLOneventElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLOptgroupElementImpl.java,104,0,0,0,0,0,0
 org\apache\wml\dom\WMLOptionElementImpl.java,120,0,0,0,0,0,0
 org\apache\wml\dom\WMLPElementImpl.java,112,0,0,0,0,0,0
 org\apache\wml\dom\WMLPostfieldElementImpl.java,104,0,0,0,0,0,0
 org\apache\wml\dom\WMLPrevElementImpl.java,88,0,0,0,0,0,0
 org\apache\wml\dom\WMLRefreshElementImpl.java,88,0,0,0,0,0,0
 org\apache\wml\dom\WMLSelectElementImpl.java,151,0,0,0,0,0,0
 org\apache\wml\dom\WMLSetvarElementImpl.java,104,0,0,0,0,0,0
 org\apache\wml\dom\WMLSmallElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLStrongElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLTableElementImpl.java,120,0,0,0,0,0,0
 org\apache\wml\dom\WMLTdElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLTemplateElementImpl.java,112,0,0,0,0,0,0
 org\apache\wml\dom\WMLTimerElementImpl.java,104,0,0,0,0,0,0
 org\apache\wml\dom\WMLTrElementImpl.java,88,0,0,0,0,0,0
 org\apache\wml\dom\WMLUElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\dom\WMLWmlElementImpl.java,96,0,0,0,0,0,0
 org\apache\wml\WMLAccessElement.java,90,0,0,0,0,0,0
 org\apache\wml\WMLAElement.java,87,0,0,0,0,0,0
 org\apache\wml\WMLAnchorElement.java,81,0,0,0,0,0,0
 org\apache\wml\WMLBElement.java,80,0,0,0,0,0,0
 org\apache\wml\WMLBigElement.java,80,0,0,0,0,0,0
 org\apache\wml\WMLBrElement.java,79,0,0,0,0,0,0
 org\apache\wml\WMLCardElement.java,128,0,0,0,0,0,0
 org\apache\wml\WMLDocument.java,72,0,0,0,0,0,0
 org\apache\wml\WMLDoElement.java,90,0,0,0,0,0,0
 org\apache\wml\WMLDOMImplementation.java,71,0,0,0,0,0,0
 org\apache\wml\WMLElement.java,90,0,0,0,0,0,0
 org\apache\wml\WMLEmElement.java,80,0,0,0,0,0,0
 org\apache\wml\WMLFieldsetElement.java,86,0,0,0,0,0,0
 org\apache\wml\WMLGoElement.java,87,0,0,0,0,0,0
 org\apache\wml\WMLHeadElement.java,73,0,0,0,0,0,0
 org\apache\wml\WMLIElement.java,80,0,0,0,0,0,0
 org\apache\wml\WMLImgElement.java,140,0,0,0,0,0,0
 org\apache\wml\WMLInputElement.java,147,0,0,0,0,0,0
 org\apache\wml\WMLMetaElement.java,106,0,0,0,0,0,0
 org\apache\wml\WMLNoopElement.java,69,0,0,0,0,0,0
 org\apache\wml\WMLOneventElement.java,75,0,0,0,0,0,0
 org\apache\wml\WMLOptgroupElement.java,88,0,0,0,0,0,0
 org\apache\wml\WMLOptionElement.java,101,0,0,0,0,0,0
 org\apache\wml\WMLPElement.java,97,0,0,0,0,0,0
 org\apache\wml\WMLPostfieldElement.java,79,0,0,0,0,0,0
 org\apache\wml\WMLPrevElement.java,70,0,0,0,0,0,0
 org\apache\wml\WMLRefreshElement.java,70,0,0,0,0,0,0
 org\apache\wml\WMLSelectElement.java,129,0,0,0,0,0,0
 org\apache\wml\WMLSetvarElement.java,79,0,0,0,0,0,0
 org\apache\wml\WMLSmallElement.java,81,0,0,0,0,0,0
 org\apache\wml\WMLStrongElement.java,80,0,0,0,0,0,0
 org\apache\wml\WMLTableElement.java,102,0,0,0,0,0,0
 org\apache\wml\WMLTdElement.java,80,0,0,0,0,0,0
 org\apache\wml\WMLTemplateElement.java,81,0,0,0,0,0,0
 org\apache\wml\WMLTimerElement.java,87,0,0,0,0,0,0
 org\apache\wml\WMLTrElement.java,73,0,0,0,0,0,0
 org\apache\wml\WMLUElement.java,80,0,0,0,0,0,0
 org\apache\wml\WMLWmlElement.java,80,0,0,0,0,0,0
 org\apache\xerces\dom\events\EventImpl.java,168,0,0,0,0,0,0
 org\apache\xerces\dom\events\MutationEventImpl.java,144,0,0,0,0,0,0
 org\apache\xerces\dom\AttributeMap.java,535,100,0,11,27,65,19
 org\apache\xerces\dom\AttrImpl.java,1321,6,0,15,0,15,2
 org\apache\xerces\dom\AttrNSImpl.java,263,0,0,0,0,0,0
 org\apache\xerces\dom\CDATASectionImpl.java,124,0,0,0,0,0,0
 org\apache\xerces\dom\CharacterDataImpl.java,430,0,0,0,0,0,0
 org\apache\xerces\dom\ChildNode.java,188,0,0,0,0,0,0
 org\apache\xerces\dom\CommentImpl.java,105,0,0,0,0,0,0
 org\apache\xerces\dom\DeepNodeListImpl.java,281,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredAttrImpl.java,182,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredAttrNSImpl.java,180,1,0,0,1,2,1
 org\apache\xerces\dom\DeferredCDATASectionImpl.java,148,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredCommentImpl.java,128,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredDocumentImpl.java,1742,9,0,15,2,19,6
 org\apache\xerces\dom\DeferredDocumentTypeImpl.java,219,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredElementDefinitionImpl.java,161,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredElementImpl.java,171,5,0,3,0,3,2
 org\apache\xerces\dom\DeferredElementNSImpl.java,176,6,0,3,0,3,2
 org\apache\xerces\dom\DeferredEntityImpl.java,180,2,1,4,0,5,2
 org\apache\xerces\dom\DeferredEntityReferenceImpl.java,229,0,0,0,1,2,1
 org\apache\xerces\dom\DeferredNode.java,76,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredNotationImpl.java,155,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredProcessingInstructionImpl.java,131,0,0,0,0,0,0
 org\apache\xerces\dom\DeferredTextImpl.java,145,0,0,0,0,0,0
 org\apache\xerces\dom\DocumentFragmentImpl.java,142,0,0,0,0,0,0
 org\apache\xerces\dom\DocumentImpl.java,1535,137,31,88,21,161,50
 org\apache\xerces\dom\DocumentTypeImpl.java,342,0,0,0,0,0,0
 org\apache\xerces\dom\DOMImplementationImpl.java,197,4,0,0,0,0,0
 org\apache\xerces\dom\ElementDefinitionImpl.java,156,0,0,0,0,0,0
 org\apache\xerces\dom\ElementImpl.java,818,7,3,9,0,12,5
 org\apache\xerces\dom\ElementNSImpl.java,245,0,0,0,0,0,0
 org\apache\xerces\dom\EntityImpl.java,247,48,0,26,0,26,14
 org\apache\xerces\dom\EntityReferenceImpl.java,355,0,0,0,0,0,0
 org\apache\xerces\dom\LCount.java,102,0,0,0,0,0,0
 org\apache\xerces\dom\NamedNodeMapImpl.java,532,0,0,0,0,0,0
 org\apache\xerces\dom\NodeImpl.java,1419,0,0,0,0,0,0
 org\apache\xerces\dom\NodeIteratorImpl.java,400,0,0,0,0,0,0
 org\apache\xerces\dom\NotationImpl.java,209,0,0,0,0,0,0
 org\apache\xerces\dom\ParentNode.java,1106,7,3,4,0,7,6
 org\apache\xerces\dom\ProcessingInstructionImpl.java,177,0,0,0,0,0,0
 org\apache\xerces\dom\RangeExceptionImpl.java,65,0,0,0,0,0,0
 org\apache\xerces\dom\RangeImpl.java,1943,0,0,0,0,0,0
 org\apache\xerces\dom\TextImpl.java,192,0,0,0,0,0,0
 org\apache\xerces\dom\TreeWalkerImpl.java,503,0,0,0,0,0,0
 org\apache\xerces\domx\XGrammarWriter.java,1158,0,0,0,0,0,0
 org\apache\xerces\framework\Version.java,85,0,0,0,1,2,1
 org\apache\xerces\framework\XMLAttrList.java,682,1,0,0,1,2,1
 org\apache\xerces\framework\XMLContentSpec.java,640,0,0,0,0,0,0
 org\apache\xerces\framework\XMLDocumentHandler.java,387,0,0,0,0,0,0
 org\apache\xerces\framework\XMLDocumentScanner.java,2298,1,0,4,0,4,1
 org\apache\xerces\framework\XMLDTDScanner.java,3301,0,0,0,0,0,0
 org\apache\xerces\framework\XMLErrorReporter.java,113,0,0,0,0,0,0
 org\apache\xerces\framework\XMLParser.java,1586,21,4,7,0,11,8
 org\apache\xerces\jaxp\DefaultValidationErrorHandler.java,0,63,0,28,0,28,7
 org\apache\xerces\jaxp\DocumentBuilderFactoryImpl.java,88,18,1,1,6,14,4
 org\apache\xerces\jaxp\DocumentBuilderImpl.java,84,57,6,38,37,118,27
 org\apache\xerces\jaxp\SAXParserFactoryImpl.java,92,27,0,29,9,47,12
 org\apache\xerces\jaxp\SAXParserImpl.java,105,55,17,26,21,85,25
 org\apache\xerces\msg\DatatypeMessages.java,98,0,0,0,0,0,0
 org\apache\xerces\msg\ExceptionMessages.java,174,0,0,0,0,0,0
