relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc
dom\ASDOMImplementationImpl.java,org.apache.xerces.dom.ASDOMImplementationImpl,17,17,0,0,0,0
dom\ASModelImpl.java,org.apache.xerces.dom.ASModelImpl,165,165,0,0,0,0
dom\AttrImpl.java,org.apache.xerces.dom.AttrImpl,549,554,5,0,0,5
dom\AttrNSImpl.java,org.apache.xerces.dom.AttrNSImpl,165,193,28,0,2,32
dom\AttributeMap.java,org.apache.xerces.dom.AttributeMap,323,324,1,0,2,5
dom\CDATASectionImpl.java,org.apache.xerces.dom.CDATASectionImpl,14,14,0,0,0,0
dom\CharacterDataImpl.java,org.apache.xerces.dom.CharacterDataImpl,134,134,0,0,0,0
dom\ChildNode.java,org.apache.xerces.dom.ChildNode,32,32,0,0,0,0
dom\CommentImpl.java,org.apache.xerces.dom.CommentImpl,14,14,0,0,0,0
dom\CoreDOMImplementationImpl.java,org.apache.xerces.dom.CoreDOMImplementationImpl,175,178,3,0,3,9
dom\CoreDocumentImpl.java,org.apache.xerces.dom.CoreDocumentImpl,1120,1182,125,63,247,682
dom\DOMConfigurationImpl.java,org.apache.xerces.dom.DOMConfigurationImpl,528,582,57,3,73,206
dom\DOMErrorImpl.java,org.apache.xerces.dom.DOMErrorImpl,42,42,0,0,0,0
dom\DOMImplementationImpl.java,org.apache.xerces.dom.DOMImplementationImpl,56,61,5,0,12,29
dom\DOMImplementationSourceImpl.java,org.apache.xerces.dom.DOMImplementationSourceImpl,74,66,0,8,11,30
dom\DOMInputImpl.java,org.apache.xerces.dom.DOMInputImpl,92,92,0,0,6,12
dom\DOMLocatorImpl.java,org.apache.xerces.dom.DOMLocatorImpl,36,48,16,4,2,24
dom\DOMMessageFormatter.java,org.apache.xerces.dom.DOMMessageFormatter,32,32,0,0,0,0
dom\DOMNormalizer.java,org.apache.xerces.dom.DOMNormalizer,716,807,122,31,30,213
dom\DOMOutputImpl.java,org.apache.xerces.dom.DOMOutputImpl,31,31,0,0,1,2
dom\DeepNodeListImpl.java,org.apache.xerces.dom.DeepNodeListImpl,109,109,0,0,0,0
dom\DeferredAttrImpl.java,org.apache.xerces.dom.DeferredAttrImpl,31,31,0,0,0,0
dom\DeferredAttrNSImpl.java,org.apache.xerces.dom.DeferredAttrNSImpl,39,39,0,0,0,0
dom\DeferredCDATASectionImpl.java,org.apache.xerces.dom.DeferredCDATASectionImpl,20,20,0,0,0,0
dom\DeferredCommentImpl.java,org.apache.xerces.dom.DeferredCommentImpl,20,20,0,0,0,0
dom\DeferredDocumentImpl.java,org.apache.xerces.dom.DeferredDocumentImpl,1281,1281,0,0,1,2
dom\DeferredDocumentTypeImpl.java,org.apache.xerces.dom.DeferredDocumentTypeImpl,73,73,0,0,0,0
dom\DeferredElementDefinitionImpl.java,org.apache.xerces.dom.DeferredElementDefinitionImpl,37,37,0,0,0,0
dom\DeferredElementImpl.java,org.apache.xerces.dom.DeferredElementImpl,38,38,0,0,0,0
dom\DeferredElementNSImpl.java,org.apache.xerces.dom.DeferredElementNSImpl,48,48,0,0,0,0
dom\DeferredEntityImpl.java,org.apache.xerces.dom.DeferredEntityImpl,39,39,0,0,1,2
dom\DeferredEntityReferenceImpl.java,org.apache.xerces.dom.DeferredEntityReferenceImpl,30,30,0,0,0,0
dom\DeferredNotationImpl.java,org.apache.xerces.dom.DeferredNotationImpl,26,26,0,0,0,0
dom\DeferredProcessingInstructionImpl.java,org.apache.xerces.dom.DeferredProcessingInstructionImpl,22,22,0,0,0,0
dom\DeferredTextImpl.java,org.apache.xerces.dom.DeferredTextImpl,21,21,0,0,0,0
dom\DocumentFragmentImpl.java,org.apache.xerces.dom.DocumentFragmentImpl,43,43,0,0,0,0
dom\DocumentImpl.java,org.apache.xerces.dom.DocumentImpl,582,582,0,0,0,0
dom\DocumentTypeImpl.java,org.apache.xerces.dom.DocumentTypeImpl,121,121,0,0,0,0
dom\ElementDefinitionImpl.java,org.apache.xerces.dom.ElementDefinitionImpl,32,32,0,0,0,0
dom\ElementImpl.java,org.apache.xerces.dom.ElementImpl,513,538,26,1,12,51
dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,184,227,45,2,19,85
dom\EntityImpl.java,org.apache.xerces.dom.EntityImpl,116,116,0,0,7,14
dom\EntityReferenceImpl.java,org.apache.xerces.dom.EntityReferenceImpl,126,126,0,0,0,0
dom\LCount.java,org.apache.xerces.dom.LCount,12,12,0,0,0,0
dom\NamedNodeMapImpl.java,org.apache.xerces.dom.NamedNodeMapImpl,281,281,0,0,0,0
dom\NodeImpl.java,org.apache.xerces.dom.NodeImpl,865,868,3,0,4,11
dom\NodeIteratorImpl.java,org.apache.xerces.dom.NodeIteratorImpl,174,174,0,0,0,0
dom\NodeListCache.java,org.apache.xerces.dom.NodeListCache,10,10,0,0,0,0
dom\NotationImpl.java,org.apache.xerces.dom.NotationImpl,68,68,0,0,0,0
dom\PSVIAttrNSImpl.java,org.apache.xerces.dom.PSVIAttrNSImpl,60,75,15,0,0,15
dom\PSVIDOMImplementationImpl.java,org.apache.xerces.dom.PSVIDOMImplementationImpl,24,24,0,0,1,2
dom\PSVIDocumentImpl.java,org.apache.xerces.dom.PSVIDocumentImpl,28,28,0,0,2,4
dom\PSVIElementNSImpl.java,org.apache.xerces.dom.PSVIElementNSImpl,74,89,15,0,1,17
dom\ParentNode.java,org.apache.xerces.dom.ParentNode,476,476,0,0,0,0
dom\ProcessingInstructionImpl.java,org.apache.xerces.dom.ProcessingInstructionImpl,41,41,0,0,0,0
dom\RangeExceptionImpl.java,org.apache.xerces.dom.RangeExceptionImpl,5,5,0,0,0,0
dom\RangeImpl.java,org.apache.xerces.dom.RangeImpl,1131,1201,70,0,8,86
dom\TextImpl.java,org.apache.xerces.dom.TextImpl,158,158,0,0,1,2
dom\TreeWalkerImpl.java,org.apache.xerces.dom.TreeWalkerImpl,274,274,0,0,0,0
dom\events\EventImpl.java,org.apache.xerces.dom.events.EventImpl,53,53,0,0,0,0
dom\events\MutationEventImpl.java,org.apache.xerces.dom.events.MutationEventImpl,46,46,0,0,0,0
dom3\as\DOMASException.java,org.apache.xerces.dom3.as.DOMASException,11,11,0,0,0,0
dom3\bootstrap\DOMImplementationListImpl.java,org.apache.xerces.dom3.bootstrap.DOMImplementationListImpl,22,22,0,0,0,0
dom3\bootstrap\DOMImplementationRegistry.java,org.apache.xerces.dom3.bootstrap.DOMImplementationRegistry,96,94,1,3,19,42
impl\Constants.java,org.apache.xerces.impl.Constants,210,212,2,0,2,6
impl\Version.java,org.apache.xerces.impl.Version,10,10,0,0,0,0
impl\XML11DTDScannerImpl.java,org.apache.xerces.impl.XML11DTDScannerImpl,73,73,0,0,0,0
impl\XML11DocumentScannerImpl.java,org.apache.xerces.impl.XML11DocumentScannerImpl,424,296,0,128,0,128
impl\XML11EntityScanner.java,org.apache.xerces.impl.XML11EntityScanner,626,712,108,22,40,210
impl\XML11NamespaceBinder.java,org.apache.xerces.impl.XML11NamespaceBinder,7,7,0,0,0,0
impl\XMLDocumentFragmentScannerImpl.java,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl,792,797,15,10,9,43
impl\XMLDocumentScannerImpl.java,org.apache.xerces.impl.XMLDocumentScannerImpl,575,581,7,1,0,8
impl\XMLEntityManager.java,org.apache.xerces.impl.XMLEntityManager,1382,1421,42,3,8,61
impl\XMLEntityScanner.java,org.apache.xerces.impl.XMLEntityScanner,1011,1059,52,4,10,76
impl\XMLErrorReporter.java,org.apache.xerces.impl.XMLErrorReporter,169,169,0,0,0,0
impl\XMLNSDocumentScannerImpl.java,org.apache.xerces.impl.XMLNSDocumentScannerImpl,281,277,25,29,11,76
impl\XMLNamespaceBinder.java,org.apache.xerces.impl.XMLNamespaceBinder,333,336,4,1,0,5
