Class,same,uchangedLines,deleted,added,changed,all, differenceSection
 apache\xalan\templates\ElemAttribute.java,277,12,3,8,20,51,15
 apache\xalan\templates\ElemAttributeSet.java,208,4,4,1,1,7,5
 apache\xalan\templates\ElemChoose.java,230,4,4,0,4,12,4
 apache\xalan\templates\ElemComment.java,185,3,5,0,1,7,3
 apache\xalan\templates\ElemCopy.java,174,6,5,1,8,22,8
 apache\xalan\templates\ElemCopyOf.java,274,3,8,4,8,28,8
 apache\xalan\templates\ElemElement.java,443,6,4,1,10,25,9
 apache\xalan\templates\ElemEmpty.java,72,3,4,0,0,4,3
 apache\xalan\templates\ElemExsltFuncResult.java,69,61,14,0,6,26,8
 apache\xalan\templates\ElemExsltFunction.java,172,61,16,20,14,64,22
 apache\xalan\templates\ElemExtensionCall.java,308,28,27,21,17,82,24
 apache\xalan\templates\ElemExtensionDecl.java,398,4,9,0,5,19,5
 apache\xalan\templates\ElemFallback.java,149,5,4,0,2,8,4
 apache\xalan\templates\ElemForEach.java,522,10,19,5,7,38,16
 apache\xalan\templates\ElemIf.java,213,3,6,1,4,15,3
 apache\xalan\templates\ElemLiteralResult.java,747,7,8,0,10,28,9
 apache\xalan\templates\ElemMessage.java,164,3,4,0,2,8,4
 apache\xalan\templates\ElemNumber.java,2194,10,11,10,9,39,12
 apache\xalan\templates\ElemOtherwise.java,91,3,5,0,0,5,3
 apache\xalan\templates\ElemParam.java,160,2,5,0,4,13,3
 apache\xalan\templates\ElemPI.java,263,2,5,0,2,9,3
 apache\xalan\templates\ElemSort.java,379,3,3,3,1,8,4
 apache\xalan\templates\ElemTemplate.java,452,5,6,4,0,10,4
 apache\xalan\templates\ElemTemplateElement.java,1634,37,15,10,19,63,23
 apache\xalan\templates\ElemText.java,182,6,5,0,0,5,5
 apache\xalan\templates\ElemTextLiteral.java,262,4,1,0,5,11,4
 apache\xalan\templates\ElemUnknown.java,79,7,13,0,2,17,8
 apache\xalan\templates\ElemUse.java,241,4,3,0,1,5,4
 apache\xalan\templates\ElemValueOf.java,362,3,7,1,8,24,5
 apache\xalan\templates\ElemVariable.java,543,5,5,1,7,20,9
 apache\xalan\templates\ElemWhen.java,159,3,4,0,1,6,3
 apache\xalan\templates\ElemWithParam.java,271,2,3,1,6,16,3
 apache\xalan\templates\FuncDocument.java,468,13,17,8,12,49,15
 apache\xalan\templates\FuncFormatNumb.java,212,4,9,5,5,24,7
 apache\xalan\templates\FuncKey.java,178,2,12,5,2,21,5
 apache\xalan\templates\KeyDeclaration.java,209,1,1,1,0,2,2
 apache\xalan\templates\OutputProperties.java,651,193,227,11,24,286,71
 apache\xalan\templates\RedundentExprEliminator.java,1472,1,1,0,0,1,1
 apache\xalan\templates\Stylesheet.java,1527,11,6,2,3,14,9
 apache\xalan\templates\StylesheetComposed.java,383,4,11,0,0,11,4
 apache\xalan\templates\StylesheetRoot.java,1299,10,12,4,16,48,9
 apache\xalan\templates\TemplateList.java,942,5,5,2,5,17,7
 apache\xalan\templates\TemplateSubPatternAssociation.java,282,3,1,1,0,2,2
 apache\xalan\templates\XSLTVisitor.java,163,1,1,0,0,1,1
 apache\xalan\templates\XUnresolvedVariable.java,218,4,7,2,1,11,5
 apache\xalan\templates\XUnresolvedVariableSimple.java,63,56,1,0,0,1,1
 apache\xalan\trace\EndSelectionEvent.java,35,58,1,1,0,2,2
 apache\xalan\trace\GenerateEvent.java,200,44,13,1,0,14,14
 apache\xalan\trace\PrintTraceListener.java,277,50,20,28,47,142,36
 apache\xalan\trace\SelectionEvent.java,124,3,1,1,0,2,2
 apache\xalan\trace\TraceListener.java,93,1,1,0,0,1,1
 apache\xalan\trace\TraceManager.java,345,5,3,3,2,10,6
 apache\xalan\trace\TracerEvent.java,199,3,1,4,0,5,2
 apache\xalan\transformer\ClonerToResultTree.java,234,18,13,1,9,32,12
 apache\xalan\transformer\Counter.java,188,6,5,2,0,7,5
 apache\xalan\transformer\CountersTable.java,239,3,1,0,3,7,3
 apache\xalan\transformer\KeyIterator.java,190,2,1,0,0,1,1
 apache\xalan\transformer\KeyManager.java,149,4,3,1,0,4,4
 apache\xalan\transformer\KeyRefIterator.java,198,2,5,4,1,11,4
 apache\xalan\transformer\KeyTable.java,141,67,0,93,4,101,24
 apache\xalan\transformer\MsgMgr.java,317,14,7,3,21,52,20
 apache\xalan\transformer\NodeSorter.java,604,6,6,0,3,12,8
 apache\xalan\transformer\NodeSortKey.java,162,3,2,2,0,4,4
 apache\xalan\transformer\NumeratorFormatter.java,372,3,2,1,0,3,2
 apache\xalan\transformer\QueuedEvents.java,200,2,6,0,3,12,7
 apache\xalan\transformer\ResultTreeHandler.java,0,1034,883,0,0,883,277
 apache\xalan\transformer\SerializerSwitcher.java,230,4,3,2,7,19,9
 apache\xalan\transformer\StackGuard.java,217,5,0,1,4,9,5
 apache\xalan\transformer\TransformerHandlerImpl.java,1074,9,12,9,12,45,12
 apache\xalan\transformer\TransformerIdentityImpl.java,1389,10,1,30,23,77,8
 apache\xalan\transformer\TransformerImpl.java,3089,328,82,137,90,399,145
 apache\xalan\transformer\TransformSnapshotImpl.java,240,24,16,2,28,74,28
 apache\xalan\transformer\TransformState.java,151,11,1,2,1,5,4
 apache\xalan\transformer\TrAXFilter.java,201,67,5,7,6,24,8
 apache\xalan\transformer\TreeWalker2Result.java,182,7,7,0,7,21,9
 apache\xalan\transformer\XalanTransformState.java,0,101,0,82,0,82,16
 apache\xalan\xslt\EnvironmentCheck.java,1344,9,2,22,7,38,14
 apache\xalan\xslt\Process.java,850,132,39,220,14,287,72
 apache\xalan\xsltc\cmdline\getopt\GetOpt.java,284,4,3,4,5,17,4
 apache\xalan\xsltc\cmdline\getopt\IllegalArgumentException.java,66,2,1,0,0,1,1
 apache\xalan\xsltc\cmdline\getopt\MissingOptArgException.java,67,2,1,0,0,1,1
 apache\xalan\xsltc\cmdline\Compile.java,196,3,3,0,7,17,6
 apache\xalan\xsltc\cmdline\Transform.java,299,14,29,11,33,106,30
 apache\xalan\xsltc\compiler\util\AttributeSetMethodGenerator.java,122,2,0,0,5,10,1
 apache\xalan\xsltc\compiler\util\BooleanType.java,233,2,0,22,3,28,2
 apache\xalan\xsltc\compiler\util\ClassGenerator.java,157,2,0,2,2,6,2
 apache\xalan\xsltc\compiler\util\CompareGenerator.java,145,3,2,9,0,11,3
 apache\xalan\xsltc\compiler\util\ErrorMessages.java,73,637,3,30,185,403,103
 apache\xalan\xsltc\compiler\util\ErrorMessages_no.java,97,4,12,0,157,326,10
