ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs
com.nwalsh.saxon.CVS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.saxon.Callout, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.nwalsh.saxon.CalloutEmitter, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3
com.nwalsh.saxon.ColumnScanEmitter, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3
com.nwalsh.saxon.ColumnUpdateEmitter, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
com.nwalsh.saxon.CopyEmitter, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
com.nwalsh.saxon.FormatCallout, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.saxon.FormatGraphicCallout, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.nwalsh.saxon.FormatTextCallout, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.saxon.FormatUnicodeCallout, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.nwalsh.saxon.ImageIntrinsics, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.nwalsh.saxon.LineCountEmitter, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
com.nwalsh.saxon.NumberLinesEmitter, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3
com.nwalsh.saxon.TextFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.saxon.UnwrapLinks, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.saxon.UnwrapLinksEmitter, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3
com.nwalsh.saxon.Verbatim, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
com.nwalsh.saxon.Windows1252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.xalan.CVS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.xalan.Callout, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
com.nwalsh.xalan.FormatCallout, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.nwalsh.xalan.FormatDingbatCallout, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
