,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",4.42373866220725,0.155287541386625,28.4874022906532,1.67802941360593e-178
"AntiSingleton",1.85540289697721,1.84787678301749,1.00407284404939,0.315343503625428
"Blob",1.86597778683301,1.53212190896155,1.21790425156034,0.223260360389867
"ClassDataShouldBePrivate",-2.34429272629961,0.91523283739861,-2.56141675703294,0.0104246219960223
"ComplexClass",1.21645775856623,1.17464797393652,1.03559345911064,0.300391844764742
"LazyClass",-3.5146895128574,0.868868238055737,-4.04513522179405,5.22929315986927e-05
"LongParameterList",-0.699836675744112,0.884062813008576,-0.791614199179445,0.428585665034815
"MessageChains",-13.1791271579395,9.01087597129078,-1.4625800199591,0.143582333694706
"RefusedParentBequest",-0.803353684406494,0.421613986169881,-1.9054246556299,0.0567248927784521
"SpeculativeGenerality",-3.35766511251794,1.42864837335272,-2.35023899172491,0.0187613605623216
"ClassDataShouldBePrivate_AntiSingleton",-31.914237054444,17.9288431841794,-1.78004998574618,0.0750677806160702
"ComplexClass_Blob",-15.8079571245726,14.3934222224477,-1.09827648215022,0.272083778048166
"LongParameterList_Blob",1.37227004823967,6.64293384429116,0.206575901612956,0.836341082035533
"LongParameterList_ClassDataShouldBePrivate",2.97640811645399,5.66639979482116,0.525273228898233,0.599393264977368
"MessageChains_ClassDataShouldBePrivate",48.4962178277691,39.9672946529863,1.21339756040119,0.224977858604763
"Blob_ComplexClass",1.1313995289328,12.9088866823383,0.0876450120583022,0.930158825360158
"Blob_LazyClass",730.522842383834,676437571.065348,1.0799560427037e-06,0.999999138319747
"ClassDataShouldBePrivate_LazyClass",6.59519340834085,21.4237988348223,0.307844255782546,0.75820084450895
"ComplexClass_LazyClass",-755.854887277259,676437571.065346,-1.11740524123584e-06,0.99999910843961
"Blob_LongParameterList",-4.22941831644747,13.3445025031198,-0.316940876249128,0.751288464932466
"ClassDataShouldBePrivate_LongParameterList",6.70694987170363,5.61779107063986,1.1938767012458,0.232526202554641
"AntiSingleton_MessageChains",150.254187842771,40262432.9788949,3.7318705484473e-06,0.999997022398107
"ClassDataShouldBePrivate_MessageChains",-208.001082501103,40262432.9788293,-5.16613297091295e-06,0.999995878022263
"(Intercept)",4.40385995626148,0.150035569377356,29.352106134148,2.2461155682579e-189
"ClassDataShouldBePrivate",-1.6375408470353,0.555588239878701,-2.94740012386299,0.00320458253070331
"LazyClass",-3.48756922438732,0.883214632686232,-3.94872219652899,7.85694669871015e-05
"SpeculativeGenerality",-4.11617788380973,1.4694660412019,-2.80113848731274,0.00509226607882538
