,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",-0.0500529224118026,0.16156769548432,-0.309795360153913,0.756716580216513
"AntiSingleton",-27.7718037100658,4430260.62328357,-6.26866138847656e-06,0.999994998331861
"Blob",-21.8233675196592,3065491.32003217,-7.11904397740399e-06,0.999994319824723
"ClassDataShouldBePrivate",-1.85797820367829,1.37298430091848,-1.35324067612088,0.175978754400484
"ComplexClass",-167.395005949717,12533930.6671512,-1.33553480065455e-05,0.999989343974022
"LazyClass",-1.89585722664464,1.29653068897673,-1.46225403128785,0.143671610302607
"LongParameterList",-1.24006887649179,1.19044157783524,-1.04168814293835,0.297556288021363
"MessageChains",-32.3232555063236,14688067.7579708,-2.20064722187727e-06,0.999998244137558
"RefusedParentBequest",-0.850841764773703,0.605649785532573,-1.40484118891501,0.160068507978164
"SpeculativeGenerality",0.439446340384608,1.44752052814366,0.303585567071829,0.761443648734787
"ClassDataShouldBePrivate_AntiSingleton",-272.424031971204,30534940.6026569,-8.92171481569871e-06,0.999992881501493
"ComplexClass_Blob",850.105493461902,74126441.5731434,1.14683165065069e-05,0.999990849607321
"LongParameterList_Blob",7.00559828606617,7.38394664320744,0.948760686469841,0.342742340951794
"LongParameterList_ClassDataShouldBePrivate",-9.30910736699609,16.2633519224835,-0.572397831109255,0.567052484888585
"MessageChains_ClassDataShouldBePrivate",0.281342901572829,71009133.7878149,3.9620663788622e-09,0.999999996838728
"Blob_ComplexClass",-195.620660636738,30018538.647587,-6.51666168474401e-06,0.999994800456254
"Blob_LazyClass",2348.83304514098,281768886.231536,8.33602700622842e-06,0.999993348812753
"ClassDataShouldBePrivate_LazyClass",-172.575808720022,65701624.890698,-2.62665967557303e-06,0.999997904228798
"ComplexClass_LazyClass",848.890070992329,215880921.686897,3.93221440949524e-06,0.999996862546833
"Blob_LongParameterList",163.43059164458,7786468.6780388,2.09890514432459e-05,0.999983253159909
"ClassDataShouldBePrivate_LongParameterList",3.14651109108496,7.33285305943154,0.429097796667002,0.667852055665824
"AntiSingleton_MessageChains",1930.74115994262,261257229.054352,7.39019229030003e-06,0.99999410347967
"ClassDataShouldBePrivate_MessageChains",-146.690362876914,20779817.8911594,-7.05927085815905e-06,0.999994367516772
