round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,22,3,300.140792568269,260,340.289895585334,282,2293.65556085306,1,0.190290545901195,0.0163154264622507,-2245.65556085306 
2,3,3,303.000293191782,279,318.657502951546,282,2278.18130369874,1,0.176664108515857,0.0150527594755807,-2268.18130369874 
