Class,same,uchangedLines,deleted,added,changed,all, differenceSection
 bsh\commands\dir.java,114,10,0,0,0,0,0
 bsh\reflect\ReflectManagerImpl.java,65,0,0,0,0,0,0
 bsh\ASCII_UCodeESC_CharStream.java,520,0,0,0,0,0,0
 bsh\BlockNameSpace.java,103,10,0,4,1,6,4
 bsh\BSHAllocationExpression.java,187,0,0,0,0,0,0
 bsh\BSHAmbiguousName.java,81,0,0,0,0,0,0
 bsh\BSHArguments.java,52,0,0,0,0,0,0
 bsh\BSHArrayDimensions.java,135,0,0,0,1,2,1
 bsh\BSHArrayInitializer.java,130,0,0,0,0,0,0
 bsh\BSHAssignment.java,150,1,0,0,0,0,0
 bsh\BSHBinaryExpression.java,215,0,0,0,0,0,0
 bsh\BSHBlock.java,71,25,0,2,1,4,3
 bsh\BSHCastExpression.java,203,0,0,0,0,0,0
 bsh\BshClassManager.java,349,3,0,0,0,0,0
 bsh\BSHFormalComment.java,0,5,0,8,0,8,4
 bsh\BSHFormalParameter.java,64,0,0,0,0,0,0
 bsh\BSHFormalParameters.java,77,0,0,0,0,0,0
 bsh\BSHForStatement.java,133,19,0,0,0,0,0
 bsh\BSHIfStatement.java,76,0,0,0,0,0,0
 bsh\BSHImportDeclaration.java,63,0,0,0,0,0,0
 bsh\BSHLHSPrimaryExpression.java,82,0,0,0,0,0,0
 bsh\BSHLHSPrimarySuffix.java,143,0,0,0,1,2,1
 bsh\BSHLiteral.java,139,0,0,0,0,0,0
 bsh\BshMethod.java,205,7,0,9,2,13,4
 bsh\BSHMethodDeclaration.java,125,0,0,0,0,0,0
 bsh\BSHMethodInvocation.java,83,0,0,0,0,0,0
 bsh\BSHPrimaryExpression.java,74,0,0,0,0,0,0
 bsh\BSHPrimarySuffix.java,233,0,0,0,0,0,0
 bsh\BSHPrimitiveType.java,45,0,0,0,0,0,0
 bsh\BSHReturnStatement.java,55,0,0,0,0,0,0
 bsh\BSHReturnType.java,51,0,0,0,0,0,0
 bsh\BSHStatementExpressionList.java,53,0,0,0,0,0,0
 bsh\BSHSwitchLabel.java,49,0,0,0,0,0,0
 bsh\BSHSwitchStatement.java,109,0,0,0,0,0,0
 bsh\BSHTernaryExpression.java,60,0,0,0,0,0,0
 bsh\BSHThrowStatement.java,55,0,0,0,0,0,0
 bsh\BSHTryStatement.java,146,14,1,11,3,18,9
 bsh\BSHType.java,127,0,0,0,0,0,0
 bsh\BSHTypedVariableDeclaration.java,122,0,0,0,0,0,0
 bsh\BSHUnaryExpression.java,119,0,0,0,1,2,1
 bsh\BSHVariableDeclarator.java,90,0,0,0,0,0,0
 bsh\BSHWhileStatement.java,99,0,0,0,0,0,0
 bsh\CallStack.java,120,13,0,0,0,0,0
 bsh\Capabilities.java,124,1,0,0,0,0,0
 bsh\ClassPathException.java,39,0,0,0,0,0,0
 bsh\CommandLineReader.java,106,0,0,0,0,0,0
 bsh\ConsoleInterface.java,55,0,0,0,0,0,0
 bsh\EvalError.java,175,2,0,0,0,0,0
 bsh\Interpreter.java,1056,18,0,19,7,33,9
 bsh\InterpreterError.java,47,0,0,0,0,0,0
 bsh\JJTParserState.java,122,1,0,0,0,0,0
 bsh\JThis.java,227,0,0,2,0,2,2
 bsh\LHS.java,202,0,0,0,0,0,0
 bsh\Name.java,862,16,0,13,4,21,12
 bsh\NameSource.java,67,0,0,0,0,0,0
 bsh\NameSpace.java,1210,26,3,26,1,31,7
 bsh\Node.java,82,0,0,0,0,0,0
 bsh\ParseException.java,306,0,0,0,0,0,0
 bsh\Parser.java,4995,345,1346,1409,212,3179,496
 bsh\ParserConstants.java,203,0,2,2,48,100,3
 bsh\ParserTokenManager.java,1773,0,10,10,228,476,166
 bsh\ParserTreeConstants.java,73,0,0,2,10,22,2
 bsh\Primitive.java,786,3,0,0,0,0,0
 bsh\Reflect.java,966,52,0,8,4,16,8
 bsh\ReflectError.java,42,0,0,0,0,0,0
 bsh\ReflectManager.java,88,0,0,0,0,0,0
 bsh\ReturnControl.java,49,0,0,0,0,0,0
 bsh\SimpleNode.java,216,0,0,0,0,0,0
 bsh\StringUtil.java,120,0,0,0,0,0,0
 bsh\TargetError.java,177,1,0,0,0,0,0
 bsh\This.java,210,5,0,3,5,13,6
 bsh\Token.java,82,0,0,0,0,0,0
 bsh\TokenMgrError.java,133,0,0,0,0,0,0
 bsh\XThis.java,190,2,0,2,0,2,2
 com\microstar\xml\HandlerBase.java,191,0,0,0,0,0,0
 com\microstar\xml\XmlException.java,84,0,0,0,0,0,0
 com\microstar\xml\XmlHandler.java,243,0,0,0,0,0,0
 com\microstar\xml\XmlParser.java,4381,0,0,0,0,0,0
 doclet\GenerateTocXML.java,0,35,0,66,0,66,13
 gnu\regexp\CharIndexed.java,65,0,0,0,0,0,0
 gnu\regexp\CharIndexedCharArray.java,43,0,0,0,0,0,0
 gnu\regexp\CharIndexedInputStream.java,131,0,0,0,0,0,0
 gnu\regexp\CharIndexedReader.java,142,0,0,0,0,0,0
 gnu\regexp\CharIndexedString.java,45,0,0,0,0,0,0
 gnu\regexp\CharIndexedStringBuffer.java,43,0,0,0,0,0,0
 gnu\regexp\RE.java,1356,0,0,0,0,0,0
 gnu\regexp\REException.java,164,0,0,0,0,0,0
 gnu\regexp\REFilterInputStream.java,121,0,0,0,0,0,0
 gnu\regexp\REFilterReader.java,117,0,0,0,0,0,0
 gnu\regexp\REMatch.java,244,0,0,0,0,0,0
 gnu\regexp\REMatchEnumeration.java,116,0,0,0,0,0,0
 gnu\regexp\RESyntax.java,502,0,0,0,0,0,0
 gnu\regexp\REToken.java,68,0,0,0,0,0,0
 gnu\regexp\RETokenAny.java,54,0,0,0,0,0,0
 gnu\regexp\RETokenBackRef.java,53,0,0,0,0,0,0
 gnu\regexp\RETokenChar.java,72,0,0,0,0,0,0
 gnu\regexp\RETokenEnd.java,55,0,0,0,0,0,0
 gnu\regexp\RETokenEndSub.java,35,0,0,0,0,0,0
 gnu\regexp\RETokenLookAhead.java,68,0,0,0,0,0,0
 gnu\regexp\RETokenOneOf.java,112,0,0,0,0,0,0
 gnu\regexp\RETokenPOSIX.java,125,0,0,0,0,0,0
 gnu\regexp\RETokenRange.java,51,0,0,0,0,0,0
 gnu\regexp\RETokenRepeated.java,207,0,0,0,0,0,0
 gnu\regexp\RETokenStart.java,69,0,0,0,0,0,0
 gnu\regexp\RETokenWordBoundary.java,85,0,0,0,0,0,0
 gnu\regexp\UncheckedRE.java,91,0,0,0,0,0,0
