ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs
QuickNotepadActions, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
QuickNotepadTextArea, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHAllocationExpression, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
bsh.BSHAmbiguousName, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHArguments, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHArrayDimensions, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHArrayInitializer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHAssignment, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHBinaryExpression, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHBlock, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHCastExpression, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHForStatement, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHFormalComment, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHFormalParameter, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHFormalParameters, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
bsh.BSHIfStatement, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHImportDeclaration, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHLHSPrimaryExpression, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
