ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs
de.masters_of_disaster.ant.tasks.ar.Ar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
de.masters_of_disaster.ant.tasks.ar.ArConstants, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
de.masters_of_disaster.ant.tasks.ar.ArEntry, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
de.masters_of_disaster.ant.tasks.ar.ArOutputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
de.masters_of_disaster.ant.tasks.calculatesize.CalculateSize, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
doclet.GenerateTocXML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.BZip2Constants, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.CBZip2InputStream, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
installer.CBZip2OutputStream, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
installer.CRC, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.ConsoleInstall, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.ConsoleProgress, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.InstallThread, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
installer.InvalidHeaderException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.NonInteractiveInstall, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.Progress, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.ServerKiller, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.TarBuffer, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
installer.TarInputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
installer.TarOutputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
net.sourceforge.jarbundler.DocumentType, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
net.sourceforge.jarbundler.HelpBook, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
net.sourceforge.jarbundler.JarBundler, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
net.sourceforge.jarbundler.JavaProperty, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
net.sourceforge.jarbundler.Service, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.gjt.sp.jedit.AbstractOptionPane, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.Autosave, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.BeanShellAction, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2
org.gjt.sp.jedit.Debug, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
org.gjt.sp.jedit.EBComponent, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.EBMessage, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
org.gjt.sp.jedit.EBPlugin, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.EditAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 3
org.gjt.sp.jedit.EditPlugin, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.IPropertyManager, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.JEditAbstractEditAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
org.gjt.sp.jedit.JEditRegistersListener, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.Marker, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.ModeCatalogHandler, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.OptionPane, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.RegisterSaver, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.RegistersListener, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.SettingsReloader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.browser.BrowserListener, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.browser.BrowserView, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.bsh.BSHAmbiguousName, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.gjt.sp.jedit.bsh.BSHCastExpression, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.bsh.BSHClassDeclaration, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.gjt.sp.jedit.bsh.BSHFormalComment, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.gjt.sp.jedit.bsh.BSHFormalParameter, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.gjt.sp.jedit.bsh.BSHFormalParameters, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
org.gjt.sp.jedit.bsh.BSHPrimaryExpression, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
