ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs
QuickNotepadActions, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
QuickNotepadTextArea, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHAmbiguousName, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHCastExpression, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHClassDeclaration, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHFormalComment, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHFormalParameter, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHFormalParameters, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
bsh.BSHPrimaryExpression, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHPrimitiveType, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHReturnType, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BSHSwitchLabel, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHTernaryExpression, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHThrowStatement, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHType, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BSHUnaryExpression, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
bsh.BlockNameSpace, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bsh.BshIterator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
