round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,13,3,389.168400088855,308,436.287527401798,321,3266.39098382835,1,0.607744692959566,0.0439019921219117,-3236.39098382835 
2,3,3,390.464939601779,318,421.220105743961,321,3261.30025750712,1,0.585014996681096,0.0420155694504475,-3251.30025750712 
