,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",-1.75444310042416,0.172121847784155,-10.1930296648005,2.1302009981409e-24
"AntiSingleton",1.75444310042419,1.33401132681329,1.31516357107345,0.188454935300975
"Blob",132.054033078234,73124.9962352626,0.00180586721199111,0.998559127215844
"ClassDataShouldBePrivate",-26.3362232977879,682670.24847151,-3.85782496846089e-05,0.999969219010202
"ComplexClass",-21.6328469705933,48163.0391204941,-0.000449158677808357,0.999641623237676
"LazyClass",-22.6278092846636,61824.3147387756,-0.000366001780695381,0.999707972836477
"LongParameterList",-0.849473620887093,1.04101787142761,-0.816002918107602,0.414498466729353
"RefusedParentBequest",-1.39404065621436,0.728240023485605,-1.91425987484457,0.0555869586653816
"SpeculativeGenerality",-22.1541013341429,133882.650872137,-0.000165474026618287,0.99986797082955
"Blob_AntiSingleton",-1816.66920946978,920013.80816221,-0.00197461080839504,0.998424489546229
"LongParameterList_Blob",-1260.35025688688,660285.186794112,-0.00190879680794638,0.998477001422072
"Blob_ComplexClass",-390.898769933429,219374.988732946,-0.001781874826256,0.998578270339198
"ClassDataShouldBePrivate_LongParameterList",4.18212195711551,1332115.55790593,3.13945883470482e-06,0.999997495074266
"ClassDataShouldBePrivate_RefusedParentBequest",4.1821219632435,695674.659944053,6.01160600499639e-06,0.999995203432383
