Class,same,uchangedLines,deleted,added,changed,all, differenceSection
 org\apache\tools\ant\filters\util\ChainReaderHelper.java,0,110,0,125,0,125,20
 org\apache\tools\ant\filters\util\JavaClassHelper.java,0,68,0,35,0,35,7
 org\apache\tools\ant\filters\BaseFilterReader.java,0,159,0,78,0,78,21
 org\apache\tools\ant\filters\BaseParamFilterReader.java,0,89,0,22,0,22,9
 org\apache\tools\ant\filters\ChainableReader.java,0,69,0,5,0,5,4
 org\apache\tools\ant\filters\ClassConstants.java,0,121,0,73,0,73,13
 org\apache\tools\ant\filters\ExpandProperties.java,0,107,0,43,0,43,12
 org\apache\tools\ant\filters\HeadFilter.java,0,133,0,54,0,54,19
 org\apache\tools\ant\filters\LineContains.java,0,174,0,84,0,84,22
 org\apache\tools\ant\filters\LineContainsRegExp.java,0,156,0,82,0,82,19
 org\apache\tools\ant\filters\PrefixLines.java,0,133,0,68,0,68,17
 org\apache\tools\ant\filters\ReplaceTokens.java,0,205,0,130,0,130,32
 org\apache\tools\ant\filters\StringInputStream.java,0,103,0,30,0,30,10
 org\apache\tools\ant\filters\StripJavaComments.java,0,110,0,60,0,60,11
 org\apache\tools\ant\filters\StripLineBreaks.java,0,132,0,59,0,59,15
 org\apache\tools\ant\filters\StripLineComments.java,0,168,0,83,0,83,22
 org\apache\tools\ant\filters\TabsToSpaces.java,0,131,0,62,0,62,17
 org\apache\tools\ant\filters\TailFilter.java,0,144,0,92,0,92,23
 org\apache\tools\ant\helper\ProjectHelperImpl.java,0,665,0,492,0,492,112
 org\apache\tools\ant\input\DefaultInputHandler.java,0,88,0,49,0,49,9
 org\apache\tools\ant\input\InputHandler.java,0,72,0,5,0,5,3
 org\apache\tools\ant\input\InputRequest.java,0,84,0,23,0,23,9
 org\apache\tools\ant\input\MultipleChoiceInputRequest.java,0,77,0,18,0,18,6
 org\apache\tools\ant\input\PropertyFileInputHandler.java,0,88,0,41,0,41,12
 org\apache\tools\ant\listener\AnsiColorLogger.java,0,150,0,128,0,128,19
 org\apache\tools\ant\listener\CommonsLoggingListener.java,0,103,0,107,0,107,15
 org\apache\tools\ant\listener\Log4jListener.java,147,43,5,8,9,31,8
 org\apache\tools\ant\listener\MailLogger.java,0,147,0,90,0,90,27
 org\apache\tools\ant\taskdefs\compilers\CompilerAdapter.java,82,4,0,0,2,4,2
 org\apache\tools\ant\taskdefs\compilers\CompilerAdapterFactory.java,130,38,3,33,6,48,11
 org\apache\tools\ant\taskdefs\compilers\DefaultCompilerAdapter.java,314,83,34,88,47,216,49
 org\apache\tools\ant\taskdefs\compilers\Gcj.java,121,16,2,8,6,22,9
 org\apache\tools\ant\taskdefs\compilers\Javac12.java,98,11,1,9,13,36,6
 org\apache\tools\ant\taskdefs\compilers\Javac13.java,96,10,0,2,5,12,5
 org\apache\tools\ant\taskdefs\compilers\JavacExternal.java,77,3,0,1,5,11,3
 org\apache\tools\ant\taskdefs\compilers\Jikes.java,203,9,0,16,11,38,14
 org\apache\tools\ant\taskdefs\compilers\Jvc.java,130,11,0,7,4,15,7
 org\apache\tools\ant\taskdefs\compilers\Kjc.java,129,30,1,8,12,33,9
