,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",-1.53933727222622,0.12191934926072,-12.6258652261537,1.52060846757586e-36
"AntiSingleton",0.448612764102842,0.990860031199916,0.452750893140355,0.650728127988293
"Blob",-12.9857317466116,12.6374120850974,-1.02756257841152,0.304155634708083
"ClassDataShouldBePrivate",0.192622840833449,0.607627857988918,0.31700791578414,0.751237595877385
"ComplexClass",0.92279247145189,0.486839538883693,1.89547560900214,0.0580294201350849
"LazyClass",-21.0267312507546,19675.9927084463,-0.00106864906702921,0.999147341570792
"LongParameterList",0.735444143732623,0.635205048291373,1.15780588600623,0.24694326083686
"RefusedParentBequest",0.557995239962174,1.90987033927327,0.292163938298816,0.770161282366772
"SpeculativeGenerality",-21.0267312513312,27826.0557404585,-0.000755649002052373,0.999397079385255
"SwissArmyKnife",698.999010068703,28551.3810840388,0.0244821435436434,0.980468026834539
"RefusedParentBequest_AntiSingleton",-21.3959826489829,54.304803336078,-0.393997976874511,0.693582532902642
"ComplexClass_Blob",-9.56421780302489,17.9256480965014,-0.533549345135898,0.593653362369904
"LongParameterList_Blob",6.43566406896447,11.9499959549563,0.538549476771601,0.590197756995733
"SwissArmyKnife_Blob",-5694.39228549705,232985.170027961,-0.024441007489076,0.980500838839062
"LongParameterList_ClassDataShouldBePrivate",-5.93810228720607,4.83197437066335,-1.22891841547389,0.21910239616412
"LongParameterList_ComplexClass",-1.3882884964624,2.28591608331294,-0.607322598846402,0.543636843692816
"RefusedParentBequest_ComplexClass",0.947115194335883,10.8865211600034,0.0869988842547371,0.930672398981802
"Blob_LongParameterList",14.3427163440175,17.183263711582,0.834691045005034,0.403891684970883
"LazyClass_LongParameterList",-0.790510672701129,121468.161543577,-6.50796606004059e-06,0.999994807394359
"Blob_RefusedParentBequest",92.7170864775419,84.5291214736723,1.0968656110595,0.272700143559803
"ComplexClass_RefusedParentBequest",35.3096756328558,23.2493065645386,1.51874102287044,0.128827696310516
"LongParameterList_RefusedParentBequest",-19.8390429816907,25.7957764250946,-0.769081056323271,0.441845193258817
"Blob_SwissArmyKnife",-13.09924776975,32.2756327223535,-0.405855646035955,0.684848669253183
"ComplexClass_SwissArmyKnife",25.0532398885573,44.1655356403973,0.56725769370363,0.570539115664689
"LongParameterList_SwissArmyKnife",-7.13271543350356,17.9036697896047,-0.398394045317179,0.690339746585551
