,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",26.5660690100977,16582.2552997069,0.00160207815703858,0.998721727120114
"AntiSingleton",1.34514405756217e-07,151430.997960914,8.88288445348136e-13,0.999999999999291
"Blob",-3.70042391864368e-06,232202.574128336,-1.59361881862623e-11,0.999999999987285
"ClassDataShouldBePrivate",3.30475908029112e-08,89289.0754026275,3.70119084041257e-13,0.999999999999705
"ComplexClass",-2.47207000690568e-08,73729.4555374074,-3.35289334349072e-13,0.999999999999732
"LazyClass",1.12330749219993e-08,146329.646768668,7.67655438939019e-14,0.999999999999939
"LongParameterList",-4.9298004198079e-06,88504.5748671456,-5.57010801668506e-11,0.999999999955557
"RefusedParentBequest",-2.975564749522e-06,273244.757710835,-1.08897413968722e-11,0.999999999991311
"SpeculativeGenerality",1.12330749219916e-08,206275.931354244,5.44565468605287e-14,0.999999999999957
"SwissArmyKnife",7.36477762301984e-07,362311.847084435,2.03271785956905e-12,0.999999999998378
"RefusedParentBequest_AntiSingleton",-1.62836202026061e-05,6635296.32965753,-2.45409087908009e-12,0.999999999998042
"ComplexClass_Blob",-7.42003955656149e-06,711646.40553135,-1.04265819357597e-11,0.999999999991681
"LongParameterList_Blob",1.35583385549622e-05,665973.81841454,2.03586660317068e-11,0.999999999983756
"SwissArmyKnife_Blob",-6.3757136790165e-06,977192.767056852,-6.52451992478324e-12,0.999999999994794
"LongParameterList_ClassDataShouldBePrivate",-9.49228538849643e-07,412669.662312527,-2.3002140102336e-12,0.999999999998165
"LongParameterList_ComplexClass",4.45149318306484e-07,278867.935521869,1.59627286469288e-12,0.999999999998726
"RefusedParentBequest_ComplexClass",1.14100956623244e-05,1563500.39431331,7.29778879738355e-12,0.999999999994177
"Blob_LongParameterList",8.66022887705238e-06,697085.783910197,1.24234765317894e-11,0.999999999990087
"LazyClass_LongParameterList",1.12052193835223e-05,915217.805627476,1.22432270380054e-11,0.999999999990231
"Blob_RefusedParentBequest",2.76445575546553e-05,1676402.96880291,1.64904012156432e-11,0.999999999986843
"ComplexClass_RefusedParentBequest",-2.12208547869521e-06,907061.197514637,-2.33951742672904e-12,0.999999999998133
"LongParameterList_RefusedParentBequest",-2.75781425619709e-05,1486991.48898095,-1.85462679284537e-11,0.999999999985202
"Blob_SwissArmyKnife",1.0155457279127e-06,1374578.78050424,7.38805037816869e-13,0.99999999999941
"ComplexClass_SwissArmyKnife",-4.8891401307342e-06,3053074.66781004,-1.60138243007373e-12,0.999999999998722
"LongParameterList_SwissArmyKnife",-2.23679288175858e-06,945282.479480475,-2.36626926904211e-12,0.999999999998112
